Node ID,Node Name,X,Y,Z,To,,,,,,,,,
1,inFrontRoom1,-41.4249,30.9059,-147.1888,2,4,7,10,13,25,,,,
2,inRoom1,-57.9781,30.9059,-100.221,1,3,,,,,,,,
3,BedRoom1,-95.7141,30.90575,-111.4388,2,,,,,,,,,
4,inFrontRoom2,-49.0794,30.9059,-183.7237,5,1,7,10,13,24,25,,,
5,inRoom2,-100.3619167,30.9059,-150.0247,4,6,,,,,,,,
6,BedRoom2,-97.7775,30.9059,-177.5141,5,,,,,,,,,
7,inFrontRoom3,-49.0794,30.9059,-256.1554,8,1,4,10,13,16,25,,,
8,inRoom3,-100.3620833,30.90536667,-277.1075,7,9,,,,,,,,
9,BedRoom3,-100.3621,21.5468,-247.657,8,,,,,,,,,
10,inFrontRoom4,-40.502,30.9059,-345.0058,11,1,4,7,13,16,25,,,
11,inRoom4,-89.5673,30.9059,-318.6775833,10,12,,,,,,,,
12,BedRoom4,-96.9616,30.9059,-345.0058,11,,,,,,,,,
13,inFrontRoom5,-1.2245,85.0134,-360.4939,14,1,4,7,10,16,25,,,
14,inRoom5,-1.2245,30.9059,-430.0215167,13,15,,,,,,,,
15,BedRoom5,-32.4347,30.9059,-445.5332,14,,,,,,,,,
16,tToRight,32.2097,30.9059,-344.3286,17,7,10,16,13,20,21,22,25,
17,inRoom6,39.0676,30.9059,-414.436,16,,,,,,,,,
18,MLPStation1,52.7289,30.9059,-242.9701,19,20,21,22,24,,,,,
19,MLPStation2,52.7289,30.9059,-263.7424,18,20,21,22,24,,,,,
20,MLPStation3,52.7289,30.9059,-290.6628,17,18,19,21,22,24,,,,
21,tBehindDesk,90.1696,30.9059,-263.7424,16,18,19,20,22,24,,,,
22,tToEAC,143.5044,30.9059,-362.6193,18,19,20,21,23,,,,,
23,outsideEAC,153.3946833,30.9059,-496.2945,22,,,,,,,,,
24,tToLeft,90.1696,30.9059,-163.0438,18,19,20,21,25,28,30,31,32,33
25,infrontRoomE,16.4926,30.9059,-156.3389,1,4,7,10,13,16,24,26,,
26,inroomE2,2.5359,30.9059,114.3137,25,27,,,,,,,,
27,inRoomE1,45.3618,30.9059,-51.0862,26,34,,,,,,,,
28,inFrontRoomD,129.9708,30.9059,-187.9401,24,29,30,,,,,,,
29,inRoomD,169.7107833,30.9059,-187.9401,28,,,,,,,,,
30,inFrontRoomC,118.1227,30.9059,-150.3054,24,28,31,,,,,,,
31,inRoomC,140.7466,30.9059,-135.905,30,,,,,,,,,
32,t2,96.3747,30.9059,-99.3861,24,33,34,,,,,,,
33,inRoomB,142.0496,30.9059,-97.2608,32,,,,,,,,,
34,t1,99.5595,30.9059,-51.0862,32,27,35,,,,,,,
35,tfromTriage,99.5595,30.9059,-8.3624,36,39,40,,,,,,,
36,Triage,62.7385,30.9059,11.18,35,37,40,,,,,,,
37,TriageDesk,15.8175,30.9059,29.1556,36,38,,,,,,,,
38,inRoomX,-39.64741667,30.9059,-49.644,37,,,,,,,,,
39,inRoomA,143.5044,30.9059,-9.0356,35,,,,,,,,,
40,waiting,99.5595,30.9059,71.6556,35,36,,,,,,,,
