ID,Name,X,Y,Z,,,,,,,,,
1,Start,-11.5,0,106.8,1,,,,,,,,
2,Entrance,-11.5,0,95.1,1,4,3,,,,,,
3,CheckIn,-11.5,0,75.2,2,4,,,,,,,
4,,-1.3,0,75.2,2,3,5,,,,,,
5,,-1.3,0,33.3,4,6,7,56,,,,,
6,,-1.3,0,18,5,7,56,,,,,,
7,FT,19,0,25.5,5,6,8,9,10,11,12,,
8,FTNurseStation,28.1,0,25.5,7,9,10,11,12,,,,
9,,25.2,0,12.6,7,8,13,15,17,19,21,,
10,,38.6,0,12.6,7,8,21,23,25,27,29,31,33
11,,38.6,0,40,7,8,35,37,39,41,43,,
12,,25.2,0,40,7,8,45,47,49,51,53,,
13,,17.4,0,9.3,9,14,,,,,,,
14,FT1,8.3,0,9.3,13,,,,,,,,
15,,17.4,0,1.5,9,16,,,,,,,
16,FT2,8.3,0,1.5,15,,,,,,,,
17,,17.4,0,-6.6,9,18,,,,,,,
18,FT3,8.3,0,-6.6,17,,,,,,,,
19,,23.6,0,1.4,9,20,,,,,,,
20,FT4,23.6,0,-7.5,19,,,,,,,,
21,,31.5,0,1.4,9,10,22,,,,,,
22,FT5,31.5,0,-7.5,21,,,,,,,,
23,,39.6,0,1.4,10,24,,,,,,,
24,FT6,39.6,0,-7.5,23,,,,,,,,
25,,46.2,0,-6.5,10,26,,,,,,,
26,FT7,54.8,0,-6.5,25,,,,,,,,
27,,46.1,0,1.3,10,28,,,,,,,
28,FT8,54.8,0,1.3,27,,,,,,,,
29,,46.1,0,9.7,10,30,,,,,,,
30,FT9,54.8,0,9.7,29,,,,,,,,
31,,46.1,0,17.5,10,32,,,,,,,
32,FT10,54.8,0,17.5,31,,,,,,,,
33,,46.1,0,25.3,10,34,,,,,,,
34,FT11,54.8,0,25.3,33,,,,,,,,
35,,46.1,0,33.3,11,36,,,,,,,
36,FT12,54.8,0,33.3,35,,,,,,,,
37,,46.1,0,41.4,11,38,,,,,,,
38,FT13,54.8,0,41.4,37,,,,,,,,
39,,46.1,0,49.4,11,40,,,,,,,
40,FT14,54.8,0,49.4,39,,,,,,,,
41,,46.1,0,57.6,11,42,,,,,,,
42,FT15,54.8,0,57.6,41,,,,,,,,
43,,39.6,0,49.9,11,44,,,,,,,
44,FT16,39.6,0,58.2,43,,,,,,,,
45,,31.4,0,49.9,12,46,,,,,,,
46,FT17,31.4,0,58.2,45,,,,,,,,
47,,23.6,0,49.9,12,48,,,,,,,
48,FT18,23.6,0,58.2,47,,,,,,,,
49,,17.1,0,57.6,12,50,,,,,,,
50,FT19,7.3,0,57.6,49,,,,,,,,
51,,17.1,0,49.9,12,52,,,,,,,
52,FT20,7.3,0,49.9,51,,,,,,,,
53,,17.1,0,41.6,12,54,,,,,,,
54,FT21,7.3,0,41.6,53,,,,,,,,
55,FTHome,35,0,25.3,8,,,,,,,,
56,Urgent,-21.3,0,25.5,5,6,57,58,59,60,61,,
57,UrgentNurseStation,-30.4,0,25.5,56,58,59,60,61,,,,
58,,-27.5,0,12.6,56,57,62,64,66,68,70,,
59,,-40.9,0,12.6,56,57,70,72,74,76,78,80,82
60,,-40.9,0,40,56,57,84,86,88,90,92,,
61,,-27.5,0,40,56,57,94,96,98,100,102,,
62,,-19.7,0,9.3,58,63,,,,,,,
63,Urgent1,-10.6,0,9.3,62,,,,,,,,
64,,-19.7,0,1.5,58,65,,,,,,,
65,Urgent2,-10.6,0,1.5,64,,,,,,,,
66,,-19.7,0,-6.6,58,67,,,,,,,
67,Urgent3,-10.6,0,-6.6,66,,,,,,,,
68,,-25.9,0,1.4,58,69,,,,,,,
69,Urgent4,-25.9,0,-7.5,68,,,,,,,,
70,,-33.8,0,1.4,58,59,71,,,,,,
71,Urgent5,-33.8,0,-7.5,70,,,,,,,,
72,,-41.9,0,1.4,59,73,,,,,,,
73,Urgent6,-41.9,0,-7.5,72,,,,,,,,
74,,-48.5,0,-6.5,59,75,,,,,,,
75,Urgent7,-57.1,0,-6.5,74,,,,,,,,
76,,-48.4,0,1.3,59,77,,,,,,,
77,Urgent8,-57.1,0,1.3,76,,,,,,,,
78,,-48.4,0,9.7,59,79,,,,,,,
79,Urgent9,-57.1,0,9.7,78,,,,,,,,
80,,-48.4,0,17.5,59,81,,,,,,,
81,Urgent10,-57.1,0,17.5,80,,,,,,,,
82,,-48.4,0,25.3,59,83,,,,,,,
83,Urgent11,-57.1,0,25.3,82,,,,,,,,
84,,-48.4,0,33.3,60,85,,,,,,,
85,Urgent12,-57.1,0,33.3,84,,,,,,,,
86,,-48.4,0,41.4,60,87,,,,,,,
87,Urgent13,-57.1,0,41.4,86,,,,,,,,
88,,-48.4,0,49.4,60,89,,,,,,,
89,Urgent14,-57.1,0,49.4,88,,,,,,,,
90,,-48.4,0,57.6,60,91,,,,,,,
91,Urgent15,-57.1,0,57.6,90,,,,,,,,
92,,-41.9,0,49.9,60,93,,,,,,,
93,Urgent16,-41.9,0,58.2,92,,,,,,,,
94,,-33.7,0,49.9,61,95,,,,,,,
95,Urgent17,-33.7,0,58.2,94,,,,,,,,
96,,-25.9,0,49.9,61,97,,,,,,,
97,Urgent18,-25.9,0,58.2,96,,,,,,,,
98,,-19.4,0,57.6,61,99,,,,,,,
99,Urgent19,-9.6,0,57.6,98,,,,,,,,
100,,-19.4,0,49.9,61,101,,,,,,,
101,Urgent20,-9.6,0,49.9,100,,,,,,,,
102,,-19.4,0,41.6,61,103,,,,,,,
103,Urgent21,-9.6,0,41.6,102,,,,,,,,
104,UrgentHome,-35,0,25.3,57,,,,,,,,
105,FTWaiting,-22,0,72,3,,,,,,,,
106,RNTWaiting,-22,0,82,3,,,,,,,,
107,UrgentWaiting,-22,0,92,3,,,,,,,,
